umap1,umap2
8.991457,10.979485
-4.7429795,5.4991055
12.25409,-2.9760206
-0.21554579,7.588548
3.0227125,-0.9457246
15.305787,11.461648
7.181633,4.777138
8.86565,10.588517
6.420304,5.8860173
12.589605,-2.7932372
13.977232,11.030335
-3.2428877,17.940708
14.102832,11.314018
-5.418523,5.0718265
9.76841,11.028791
-1.4723653,9.380772
13.163988,12.187576
13.518028,12.653389
5.07815,5.361766
14.532907,11.986856
8.020727,11.703111
-4.0525336,4.589934
8.88461,10.460035
14.095223,11.565055
5.1858315,8.457146
-4.8611073,4.739498
11.183597,12.055344
-3.6645656,5.9361405
6.8088374,5.641223
13.939279,11.520905
14.019298,11.469964
5.0813656,5.3336906
-4.461804,5.0074034
-0.025406795,7.6884847
-0.02548027,7.329479
10.436483,11.807159
-4.079235,5.6662188
-4.8996906,5.0888824
13.298073,12.570111
-2.559038,18.339336
8.875944,12.016852
14.070039,11.993176
-1.2566909,8.993568
-2.099103,10.05401
-7.0580025,5.8614397
14.2816,11.607264
-4.778318,5.6875973
-1.438055,10.712669
0.42365953,8.55185
12.477937,-2.955765
8.494858,12.325912
0.38729966,7.37039
-2.6924062,17.881193
12.34943,-3.033822
7.072596,9.9689455
-0.57825726,8.47442
-2.8720846,18.279108
-3.7534163,4.991015
-0.44905016,7.269145
13.56651,-2.8331642
13.4706545,11.627587
7.530288,4.8270826
-2.4722521,5.4105787
-2.1831458,9.002878
3.1053393,5.9295974
2.8753076,5.6395764
8.494165,10.379144
5.4187827,8.640068
-4.871613,5.645144
-3.4135137,5.956419
-2.6540122,17.825
14.840819,11.989759
-4.2635345,5.626365
-4.1812525,5.0348306
9.391684,11.826439
5.5222383,6.5621476
13.259598,-2.8780935
14.8714905,11.997435
8.331666,12.005581
7.187825,4.963052
-1.3983762,8.42316
9.438693,11.033301
5.1473436,8.405281
13.879038,11.169888
7.628241,-2.4473093
15.290424,10.789068
-7.047694,5.864169
0.55187243,7.319808
10.085,11.373228
-2.2436001,9.642993
-0.88288647,7.9797115
-3.3810387,17.881382
6.6258354,5.651731
3.9984083,7.0722084
13.829347,12.397195
8.913044,11.877792
9.157251,11.553575
9.031633,10.519157
13.164227,12.352074
13.306894,12.104262
-0.307709,7.409042
8.705,11.799118
2.7527146,5.7920547
14.157372,-2.9842994
6.5450177,5.327397
9.548104,12.083281
-1.2245761,8.969033
4.644287,7.9520903
-4.478293,5.04603
-1.2760488,9.108898
0.02203896,7.55347
-2.210289,5.78678
-4.5377173,5.854196
-3.6456351,6.0765557
0.12438599,8.6348
-1.5568001,11.145206
-0.3640603,8.682724
-2.4734392,9.368954
14.020384,12.131906
13.308293,11.094236
9.672922,11.690849
-2.2187681,8.481289
3.10005,-1.0486807
-5.171585,5.5251923
14.032552,-2.770497
12.753964,11.868539
-2.92575,17.862938
-7.131304,5.960029
8.849465,11.85329
10.672176,12.047158
13.06672,11.999677
-2.800153,18.585867
-3.822894,5.236711
6.158546,9.346307
14.704063,11.154916
-2.6783197,5.6891146
6.453572,9.636119
14.300892,11.468372
-3.7652936,4.8647394
-2.3709211,9.354126
3.9584627,7.0157137
-2.6395442,5.4505463
-3.5587363,5.8111086
-2.3690028,8.112119
14.657333,12.054904
-2.9589903,18.32908
-2.0843577,8.678838
12.948455,11.907211
