vivae1,vivae2
-0.6347144,-0.5521339
1.9903361,-2.2119474
-0.899513,0.9028859
-0.45113128,-0.6607969
-0.9716169,3.0346951
2.3551493,0.4827164
-0.20851308,-0.6402806
3.351601,0.15092918
3.7162018,-0.53214514
0.545898,-0.22823422
-0.12883288,2.003125
2.6998074,0.31524444
1.6057402,0.49458137
-0.99811035,-1.8619653
1.5089908,-0.26640823
1.8583108,0.3935316
-1.4917562,0.7473699
1.4886667,-0.7016593
0.6465591,0.9728128
0.16560227,-1.9628859
-1.1458437,-1.1197382
-1.3434154,1.3286341
1.4314574,-0.9372003
-0.62879246,-2.8779094
1.4676323,-3.2970424
3.0460575,0.7848246
0.20235431,2.421521
-1.6600484,1.3164332
-0.4240269,2.1639233
1.8268206,-2.401996
-0.16023609,2.029988
0.56827205,0.06332424
-0.6564885,1.848837
-2.0804431,-1.6644517
-1.0608836,1.8011996
-0.8328877,-0.5989989
-0.9367259,2.3985415
-0.80943537,1.3513258
0.6656716,-0.4247552
-0.562089,-1.1448824
-0.5066777,1.4632622
2.1514535,1.8992659
-1.1011645,-0.9504379
-1.3244376,1.6675737
-0.8867966,-1.8344489
-0.7789043,1.6061373
-0.5190609,0.5613797
-0.4410457,1.1395632
0.34602863,0.7902597
-1.5727062,1.8654497
1.0964097,0.022366285
0.5692065,1.3140019
-0.6584477,1.014042
-0.010963015,-0.5604004
2.2421088,1.2176082
1.6428726,0.3476314
-1.9388769,-1.0492831
-0.17553154,-0.1401614
-0.8666458,-0.6683768
0.54013634,0.9112638
-1.7096585,-0.7536069
-0.6817285,1.5753382
-0.5612239,1.309835
-1.4070787,-1.9189858
-1.4604112,1.075692
-1.4334271,-1.8621993
-0.14901847,-0.30848372
-1.2105978,-2.3205528
-0.8495088,0.5278624
-0.23142892,1.7464653
-1.9650016,-2.7118917
-0.69484586,1.9486812
-0.06210234,2.1547258
-1.5938145,-0.7750925
1.2554939,0.4252074
2.6537488,3.2777972
2.6304927,-1.0669428
-2.1257672,1.1197485
1.7207927,-1.8153291
0.4487357,-0.76330614
2.5599127,-1.2998599
2.1245427,-1.245361
-0.85772574,0.66314197
-1.7196832,1.9763004
-1.5600575,-0.9099002
-1.6998454,-2.3949876
-0.60796946,-0.45222655
-0.39317167,1.2342718
-1.4777472,3.0774417
1.3178041,1.8986813
-0.7834315,0.7583951
-0.75369465,2.6172721
-0.6344486,1.170182
-0.030454494,2.2269828
0.9101708,1.2305138
-1.0390486,3.0126889
-0.3983298,0.66619015
0.2915182,0.6852257
0.5044568,1.9121588
-0.44350052,2.3958247
-1.1533898,2.9932563
-2.1663775,-1.8607444
-0.5376133,1.0909578
0.43024954,1.7493724
-1.0234618,-0.49641958
0.9851127,-0.44873142
-0.5658018,3.1968386
-0.7007327,-0.8534459
0.4223886,0.054040045
-1.4690129,2.6668394
-1.2984258,-2.4363773
0.09275217,1.9072682
-0.42366552,-0.6013062
-0.0926378,-2.033005
-0.6504817,-0.58580554
-1.3082948,1.5639739
3.113087,1.3387789
0.5682504,2.7740972
3.6744616,-0.5720705
2.8215356,-1.3443822
-2.1310194,-2.3155718
-1.0640532,-3.022893
0.96061206,1.6528622
1.3596165,2.379493
0.43272278,0.06535037
-0.8057671,2.5907955
3.3005564,-0.6685115
0.09472205,-0.33397713
-1.426868,0.9223496
-0.80351263,-0.8777187
-0.53033954,-3.1212227
-0.9022524,1.0736579
1.3961337,0.43395045
1.1135772,-0.8825762
-0.8781363,2.1514285
0.46530974,3.1108792
-0.527164,2.5571818
0.789515,1.5946069
-0.7576501,-1.6685168
-0.77013105,-0.57984847
0.14271116,-0.6061967
-1.6661661,1.9573659
2.306974,-2.5908227
1.4243163,-0.17076924
-0.033695087,1.1013597
-1.65007,1.2482606
-1.1377296,-2.6213043
-1.0545673,-3.062897
-0.39611349,-2.9018636
0.058295995,-0.994269
0.10092047,-2.6787536
-1.3306113,-1.6302203
0.4319369,2.9448752
-0.36196804,-0.15040946
0.8044039,1.636684
-1.2066332,-3.3266733
-1.4485761,0.8370898
0.34400415,-0.13298866
0.8333316,1.7567316
0.36636803,2.0710008
0.28076795,2.6669655
-1.1847785,1.6113195
0.28141603,0.14646587
-0.8948273,-1.2721555
-0.8631156,2.1142783
0.8478227,1.7644266
0.4519081,-0.28850427
1.3136714,-1.1931969
-1.2442117,-2.7625775
1.3215852,-1.3575515
1.6396405,-2.2724981
0.9533944,1.9434842
-0.18472451,-1.0647944
-0.2264337,2.2314553
-1.8668028,1.5745411
-0.5276017,-2.093781
1.0298969,1.8212016
-0.041861974,-2.9778676
2.1043267,-1.831323
