umap1,umap2
-1.5880145,-8.080498
-2.4143054,-7.469242
-2.6439295,0.33183357
5.2162557,1.0742383
13.592221,-2.1161084
4.408614,3.1640317
-5.7795525,4.1070333
7.3121614,4.8111134
6.5979557,4.4998584
9.741528,-2.585775
-2.685453,0.9974722
15.123373,-3.217799
10.444448,-1.9224563
-0.34858122,0.964722
10.778058,-2.0499523
9.340876,13.395456
-1.8986509,-7.6479516
-7.2405457,4.108404
-4.0700946,4.567158
-0.43902305,3.9103513
2.4002702,3.658153
-2.169326,0.91240966
-1.5852848,1.8424342
-1.0298667,2.1304944
11.79925,-2.2555425
8.479837,-2.2858818
-3.5483227,4.621953
-2.1091344,-7.20187
15.430825,-3.337511
2.1246617,4.039863
-3.018058,-0.028517276
-2.0547523,-7.545567
-2.60538,4.4022446
-2.0549138,-8.006374
3.5107262,4.360806
-0.6588739,0.9914975
14.7205105,-3.3542812
-2.9167402,4.4441433
-2.8268447,4.3258586
-2.2765126,0.46917364
7.1681266,4.5229983
-5.67708,4.446332
-2.3724363,0.6647652
-5.6108656,4.3594165
-7.074452,4.270726
7.4318104,-0.5773628
10.552963,-2.3395321
15.287758,-3.1372578
13.299833,-2.330237
-4.4215417,5.573908
15.841406,-4.380607
13.065464,-3.115264
13.739414,-2.131709
-1.9009072,1.7947034
9.015393,-2.8396964
-3.05856,1.7809163
6.528387,3.9034867
14.730999,-3.259714
4.864039,12.272582
-5.5637374,4.8204403
5.8800263,0.5227667
14.24268,-2.4693017
13.392216,-3.256667
9.872159,12.666858
-2.4140253,-7.2895393
4.825942,12.339976
-2.0069733,-7.5745826
6.385146,0.090625346
13.750829,-3.5176077
4.7655215,12.388722
7.316484,4.685065
10.891734,-2.034163
3.7342763,-3.6869817
-4.444221,5.0699205
-3.0381596,1.2681556
-5.3992934,4.1512103
4.1670794,3.762657
9.900588,12.609924
7.751116,-1.1978815
15.068508,-2.787182
13.793513,-2.2302375
-1.2254065,-0.63395864
15.125089,-3.174682
-2.1902797,-7.509498
2.8020427,3.9522607
3.5086865,4.351164
-0.8207417,2.5466065
6.6067786,3.8510864
-0.46317837,1.557842
-2.1981783,-7.579178
7.9249763,-0.83026993
4.6210213,1.5833503
9.027357,-0.8168381
4.7818036,12.397321
-1.868881,1.372418
-4.6494765,4.76407
-0.39165,2.1590762
8.6815,-2.4849339
6.1086936,3.9315064
-2.3568313,1.3505696
8.6093235,-2.127012
12.902224,-3.254262
14.97339,-2.653912
-3.809987,4.178375
-2.360846,1.4712659
2.3903663,10.391669
14.239131,-2.7876244
14.927419,-2.9077818
10.10026,-2.561788
11.363937,-2.0734327
2.4640453,10.462283
-7.1160975,4.2354274
-2.906372,1.7850022
-2.3776126,4.310004
8.696687,-1.3704345
8.90662,14.344424
3.5947907,-3.8120027
11.365812,-2.1070337
-1.9230363,1.1826336
-4.110533,5.0906453
2.6894948,4.0268636
7.4370046,4.846375
-4.804995,4.7032585
-4.9598055,4.486608
-4.4735765,5.080913
-2.6731572,0.43165606
15.064802,-3.963949
-4.2822037,5.071232
7.8744087,-1.5627371
8.245579,-2.0410733
-1.6930898,-7.894828
9.503972,13.065032
-4.40566,4.957625
9.704731,-1.8965915
15.519897,-3.1428428
-4.0298367,4.0003138
8.150857,-2.0079892
9.146888,-1.9695458
-7.2802567,4.096463
-5.5955915,3.7733092
-3.3369036,4.699953
9.146586,15.976701
13.843408,-2.0629728
-3.9024193,4.798632
7.180436,4.5071
-4.8747625,4.1446457
14.554444,-3.6304033
-2.5653431,4.036011
11.122796,-2.474578
-1.9600774,-7.662287
-2.1268806,1.1271063
8.64697,-2.3922007
14.427625,-3.324434
7.1968937,-0.3732003
-2.2924192,4.490546
9.6389065,-1.8888724
-5.3863993,3.768286
-5.594213,4.5324616
5.7878394,0.74487066
-0.012295374,3.730941
10.532628,-2.534806
-3.0896096,1.0063779
-2.6636617,0.89202374
14.500564,-3.1429293
5.6465516,0.7229789
-0.46412563,2.4117393
8.650672,-0.86162704
14.364589,-2.760471
10.301161,-2.2517266
5.7540193,3.680291
10.784658,-1.9997023
13.068188,-3.1212645
-4.455264,4.4507103
-3.8052392,4.1708813
-2.5473063,0.23221788
6.651115,4.4455523
8.917796,-0.8559082
7.9692917,-0.77509886
9.814075,-2.1210997
4.80498,12.349053
-4.7959046,4.7518015
2.1959293,10.173697
14.179955,-3.7789645
-3.5383706,5.249485
9.081612,13.703089
14.542114,-3.785227
-2.2295043,-7.6615124
7.8588023,-1.020689
8.999468,-0.8145279
-1.7287482,-8.036609
14.456065,-3.216679
6.6845436,4.5224433
2.226038,10.190641
-4.182462,4.393388
7.9161425,-1.200695
9.857963,-1.9926993
