dm1,dm2
-0.08899282217821454,-0.036264908427681763
-0.08927944688276215,-0.0357153297693806
-0.08946031046010053,-0.035968985166205114
-0.0718764373077774,-0.03733975223665186
-0.08885752087741222,-0.035973409040610506
-0.08929086318192624,-0.0359388968058588
-0.08946685723290049,-0.035973686303748996
-0.08936631990742427,-0.03602700492512709
-0.0893225529206796,-0.0359340245368976
-0.0668227437178025,-0.03756061790543995
-0.08905027113309907,-0.03660617815511537
-0.08890242881043539,-0.03591550958876247
-0.08936492015637737,-0.03594869692970565
-0.08933108622735167,-0.03599468332459614
-0.08914390500394972,-0.03345139514752037
-0.0891749006393882,-0.033553955091098084
-0.08894298243490188,-0.036221539966302126
-0.0887838171142002,-0.03582030822037087
-0.08936636371445125,-0.036041369051546125
-0.08936250902262904,-0.036008657718777835
-0.08946320009964896,-0.03596956949482492
-0.08904678141952775,-0.0366240195584816
-0.08936798951589836,-0.036030224768012695
-0.0893737878341209,-0.036036873093026486
-0.0889785200087176,-0.0363077456214141
-0.08898381758213157,-0.03573202736888503
-0.06869980570046447,-0.0374921535815447
-0.08903973723425417,-0.036620539994480304
-0.08897286840226698,-0.03627277649455406
-0.08888372474065423,-0.035897854634465765
-0.08932664292612484,-0.035979314882781235
-0.08898454590159871,-0.03632413666072595
-0.08879529832702142,-0.035759171935971286
-0.08904841882796419,-0.036613384309328006
-0.08384983348633687,-0.036422647666082955
-0.088999607836279,-0.036623079966065564
-0.08931569643045795,-0.03608468475769977
-0.08926369020683869,-0.03561715718043668
-0.08900129670988181,-0.036373388176535106
-0.08933056198129694,-0.03599842729810979
-0.08932173669576034,-0.03595541606785047
-0.08945195318131156,-0.03595423155667696
-0.088881606971156,-0.03582848034634307
-0.08883438820480984,-0.03506026314690291
-0.08905260069789281,-0.03661447189599673
-0.08897812118477652,-0.0363071275669813
-0.08898252057728039,-0.036315870208778515
-0.08896184359182863,-0.03626284582934486
-0.0890525161294216,-0.036603534534007096
-0.08905311375664644,-0.0366069971518897
-0.0893180007175862,-0.03592048425711162
-0.0889767017526781,-0.03630325555574898
-0.08914040023181982,-0.03420275639992451
-0.06556525574004934,-0.03761445065640332
-0.08882811278430872,-0.035795505911892345
-0.08899656368532116,-0.03635644734148596
-0.08931958717998675,-0.03598559865563046
-0.08882207967399414,-0.035547464954909555
-0.08937310414957687,-0.03603914991650708
-0.08932218122754121,-0.03598545070518952
-0.08930926133578092,-0.03591744489908492
-0.08935095431371752,-0.035944626223446366
-0.08936642658773376,-0.036038350893464445
-0.08935998318237612,-0.03601917700908445
-0.08923381057458889,-0.03592914039465267
-0.08924935645770471,-0.03605945687845505
